feature,importance_mean,importance_std
flow_nm3h,0.2341941547835451,0.008613642141327406
pressure_bar,0.1992966696992088,0.010221974866120902
tank_level_pct,0.1608352927031198,0.006383335652037117
electrolyzer_current_a,0.08035241086440449,0.011538145550807262
temperature_c,0.04584146517073497,0.007448720180829823
valve_state,0.028319449897740805,0.004011972641853122
compressor_state,0.023997858848726978,0.0032792941017906877
packet_rate_pps,0.001528998833117227,0.0014024510222492316
command_rate_per_min,0.0006628340663067389,0.0006629569381783007
network_latency_ms,-0.0011343716769894503,0.0025614986016020557
